brewery,beer name,size,style,description from brewer,color,ABV,OG,FG,IBU,availability,calories,calories/serving size,ingredients,grains,Hops,yeast,other ingredients,distributor,item,upc,reg price,post off,net case price,unit price,deposit,suggested +20%,suggested +25%,suggested +30%,,,,
Bullfrog Brewery,Edgar IPA,,IPA,"As the story goes, I was redesigning our I.P.A. to be bigger and better but as it came together it started to take on a life of its own. After much deliberation and several pints of our new creation we decided to name him after the master of macabre, Edgar Allen Poe, as a tribute to his aptly named short story ""HOP FROG."" As Edgar fermented and spewed his almost abusive hop aroma throughout the pub, his legend and our thirst grew until finally one day, he was released into the world. We hope Edgar amuses you as much as he has us but stay on his good side because much like the story, this Hop Frog bites back!",,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Apricot Wheat,,American wheat Ale,n American wheat beer brimming with the flavor of fresh apricots.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Summer Session Pale Ale,,Pale Ale,"A creamy, amber colored English-styled ale loaded with East Kent Golding hops, caramelized malt and Maris Otter pale ale malt prized for its biscuity bouquet and hearty flavor.",,3.8,,,,,,,,maris otter,east kent goldings,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Billtown Blonde,,blonde Ale,"This lightly colored ale has a delicate floral aroma and flavor reminiscent of Williamsports first breweries, clean and crisp with just a touch of lingering sweetness leading to a dry, balanced finish.",,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Lil' Slugger Pale Ale,,Pale Ale,"This classic American ale has a beautiful light gold complexion and thirst quenching hoppiness thanks to a blend of Palisade, Ahtanam and Amarillo hops. Hop lovers rejoice",,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Das Bier,,,"A traditional favorite originating from Dusseldorf, Germany our Altbier has a nutty, chocolate-like maltiness and a clean, yet spicy, hoppy finish.",,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Extra Stout,,Stout,Crossed between a Caribbean and an American stout this bittersweet brew has hints of molasses and espresso with a hoppy finish.,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Water of Life Grisette,,saison,"This hazy golden, low alcohol saison, meant to slake your thirst during the hot summer months, has a definitive fruitiness from our house saison yeast, a bit of earthy farmhouse funk and a dry, spicy finish.",,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Endless Mountain Amber Ale,,Amber Ale,"This beer is all about balance with its light amber color and clean, caramelized malt profile. Seasoned with the prized Hallertau Mittelfruh hop known for its floral and lemongrass-like character.",,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Irish Red Ale,,red ale,Rich caramelized malts with faint cookie-like flavors round out this easy drinkind amber ale just in time for St. Patrick's Day,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Smoked Porter,,Porter,"A big, RICH dark ale with a complex combination of beechwood smoked malts, chocolate, coffee and caramel flavors rounding out the beers smooth creamy body.",,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Chocolate Bock,,bock,"A rich, dark German-styled bock beer brewed with 11 pounds of Belgian dark chocolate. Need I say more.",,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Coffee Cream Stout,,stout,Acoffee and beer lovers delight! 10 pounds of freshly roasted Sumatran Mandling coffee and 55 pounds of lactose (milk sugar) give this beer its oh so smooth and creamy coffee flavor.,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Fast Eddies Pale Ale,,Pale Ale,"Named in honor of Ed Kiessling, the worlds greatest contractor. This American pale ale is assertively hopped and dangerously drinkable. Hopheads rejoice!",,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Friar Frog Dubbel,,abbey Ale,"A Belgian-inspired Abbey ale in the tradition of the great Belgian monastic breweries. It's fruity plum and raisin-like undertones compliment the predominantly malty, caramel and chocolate character.",,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Tripel Trubbel,,abbey Ale,"To round out our tribute to the great monastic breweries of Belgium this Abbey ale is golden in color with a rich, honeyed aroma and a dry, spicy finish.",,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Winter Warmer,,,"A rich and creamy Christmas treat lightly spiced with fresh Rosemary for its piney, resinous zest and Christmas potpourii aroma.",,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Hands Off Maibock,,Maibock,"A springtime favorite, this traditional German Maibock (my-bock) is golden in color with a rich maltiness and a long, spicy finish",,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Red Star,,amber Ale,"A hearty amber ale loaded with fruity, caramelized malt flavors and balanced with the distinctive spice of our Belgian ale yeast.",,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Soul Export,,scottish Ale,"CASK-CONDITIONED- This all Organic Scottish Export ale is brimming with ""the soul of beer""...MALT! Smooth and creamy with layers of yep, malt",,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,French Kiss,,Biere de Garde,"As a lover of saisons I felt it necessary to brew its french counterpart, the Biere de Garde, full of luxurious richness with an aroma akin to candied apples. The palette is full of expressive malt yet finishes dry and spicy with dashes of tartness from the yeast.",,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Old Toad,,Oak aged barleywine,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Wolfsblood,,oak aged scotch ale,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Roggen Roll,,,"This beer combines the traditional flavors of a dunkleweizen with an odd brewing variety, Rye, which contributes a bready, dry spiciness. Very few of these beers are even brewed anymore let alone available here in the states.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Dread Double red,,red Ale,"Massive amounts of malted barley and Warrior hops are packed into this blood red monster, giving this double red ale its luxuriously rich, caramelized body and hop-gasmic aroma.",,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Winter Lager,,lager,"Rye and crystal rye malts lend a citrus-like spice and a deep, rich amber hue to this deliciously smooth lager.",,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,XXXX Quad,,double dubbel,"Basically a double Dubbel this is the most rare of Belgian Abbey ales. This HUGE beer has a rich, chocolatey body filled with plum, rum, black currant and banana-like notes matched with a deep and spicy warming finish.",,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Bruggetown Blonde,,blonde Ale,"A play on our staple beer Billtown Blonde and named for the capitol of Belgium, Brugge, this Belgian inspired blonde ale is light and fruity with a spicy hop finish.",,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Smokin' Amber Ale,,amber Ale,"Based on the Rauchbiers of Bamburg, Germany this amber ale has a rich and toffee-like maltiness and a wonderfully smokey aroma and flavor.",,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Beesting Saison,,saison,"Our honey infused saisons aroma is brimming with a rich fruitiness, peppery spice and of course...honey. This brew is lightly hopped to showcase the 30 lbs.of OJ blossom honey and 15 lbs.of Buckwheat honey used to create this complex and layered ale.",,7,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Cherry Wheat,,wheat,A crisp and refreshing Wheat beer with a kiss of cherries.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Nut Brown Ale,,brown ale,"This rich and creamy brown ale starts with a powerfulroma of roasted and caramelized malts that carries all the way through the beers finish. On the palette hints of hazelnuts, chocolate and that wonderful flavor of caramelized malt shine filling out the beers body.",,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Williamsporter,,dark ale,"A richly aromatic, light bodied dark ale with a chocolate-like finish.",,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Diabolique,,,This golden elixir has a strikingly fruity and honeyed aroma. The palette is spicier than the aroma shows yet the fruitiness won't be outdone. This beer finishes long and dry with a wonderfully complex character.,,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Old Toad Barleywine,,barleywine Ale,"Big, bold and rich with flavors of candied orange peels, caramelized malts, ripe dark fruits and a steady stream of hops( over 100 I.B.U.'s ). Brewed with over 3 times the ""normal"" amount of malt and hops but then again I'm not normal!",,11,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Houblonium P-38,,IPA,"Whoa! A big hoppy American IPA and a big fruity Belgian ale combined into one enormously delicious Belgian-inspired IPA. Packed with flavor that will blow up your taste buds, loaded with Horizon, Amarillo, Saaz and Crystal hops. It may leave you feeling a little radioactive!",,8,,,,,,,,,"amarillo, saaz, and cascade",,,,,,,,,,,,,,,,,
Bullfrog Brewery,Flying Frog ESB,,ESB,"This traditional English Extra Special Bitter has a rich, biscuity malt character balanced by a generous dose of East Kent Goldings and Fuggle hops.",,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Susquehanna Oatmeal Stout,,Oatmeal Stout,"A big, burly Oatmeal Stout full of chocolate, caramelized malt and coffee flavors. This stout has a rich mouthfeel and a smooth, roasty finish",,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,El Rojo Diablo,,imperial red Ale,"his hoppy Belgian-inspired imperial red ale bursts with an aroma full of stewed fruit, spicy hops and Belgian-y goodness. On the palette this beer is rich and spicy with a fruity hoppiness that doesn't quit.",,8,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Inspiration Red,,,A big addition of caramel and Munich malts give this beer its rich mahogany color along with its juicy palate. Its medium body and wonderful balance of hops from the Pacific Northwest make this a luscious and aromatic brew,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Old Treehugger Organic Strong Ale,,Strong Ale,"This 100% Organic treat is brimming with earthy, fruity malt aromas reminiscent of ripening apples, pears and vanilla beans. it's creamy, rich body carries more of the same flavors plus a luscious caramel backbone",,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,PHAT Frog Amber Lager,,Amber lager,"Brewed every year to celebrate Mardi Gras and the spirit of New Orleans, this amber lager is crisp and clean with a smooth toffee-like malt character and a dry, spicy finish",,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Belgian Apricot Wheat,,belgian Wheat ,"A twist on our popular Apricot Wheat, this time brewed with a Belgian yeast and left unfiltered for its fruity and spicy contribution.",,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Unique ,,American Belgian Abbey,"Often in Trappist breweries the monks brew a beer of low alcohol strength for the brothers to consume... so I just had to put my spin on this Trappist-inspired Singel. Brewed with imported malts, a Trappist yeast strain, American Palisade, Willamette and Crystal hops plus a slew of wild yeast in the bottle for a refreshingly tart snap. This beer truely is Unique!",,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Atomique Organic Belgian-inspired Dark Ale,,dark ale,100% organic Belgian Dark Ale brewed with Organic Cacao Nibs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Black currant Wheat,,Dark Wheat Ale,"A dark wheat beer flavored with fresh, local made black currant syrup and black currant juice",,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Wolfsblood Scotch Ale,,Scotch Ale,"Blood red in color with a big, rich, slightly smokey body and robust alcohol content for those cold winter nights. Smooth, smooth, smooth! Whatch out, it'll get ya! ( a tribute to the Misfits! )",,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,eSTEAMed Beer,,ale/lager,"A 19th century California style beer that originated during the gold rush. This ale/lager hybrid has a distinct hoppiness, a clean, slightly fruity medium body and a refreshing effervescence.",,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Blue Collar Brown ,,,"This cask-conditioned session ale has a luscious brown body and is lavashly hopped with American grown Centennial hops. Blue Collar Brown is a salute to Williamsports working men and women, rich in flavor but low in alcohol. Served from our 45 degree cask room via handpump.",,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Fruit Wheat,,wheat,"Watch for our rotating selection of fruit-infused brews such as: Apricot Wheat, Black-N-Blues-Berry Wheat, Strawberry Blonde, Black Razz-Berry Ale, Cherry Wheat, and many, many, more!",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,ALT-ernative Ale,,German Altbier,"Beautiful dark copper color with a slightly nutty maltiness and a crisp, clean spicy finish. This medium bodied German-styled Altbier is brewed with a blend of ale and lager yeasts then cold-conditioned for four weeks to mellow.",,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Blackberry Here,,hefeweizen ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bullfrog Brewery,Farmhouse Pale Ale,,belgian ale,"Packed with Horizon, East Kent Golding and Amarillo hops this Belgian-inspired ale pours a beautifully hazy shade of sunset complimented by a lush fruitiness and complex spice reminiscent of cinnamon sticks.",,5.2,,,,,,,,,"horizon, east kent goldings, amarillo",,,,,,,,,,,,,,,,,
Bullfrog Brewery,El Hefe,,Hefeweizen ,"This Bavarian-styled Hefeweizen combines the flavors of banana, clove, bubblegum and citrus in a wonderfully refreshing summertime ale.",,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Harviestoun Brewery,Bitter & Twisted ,,Blond Beer,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Harviestoun Brewery,Schiehallion,,Lager Beer,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Harviestoun Brewery,Ptarmigan,,Premuium Ale,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Harviestoun Brewery,Old Engine Oil,,Dark Ale,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Harviestoun Brewery,Ola Dubh Special Reserve 12 ,,Ale Matured In Whisky Casks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harviestoun Brewery,Ola Dubh Special Reserve 16,,Ale Matured In Whisky Casks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harviestoun Brewery,Ola Dubh Special Reserve 30,,Ale Matured In Whisky Casks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oskar Blues Grill and Brew,Dale's Pale Ale,,Pale Ale,"Dale's Pale Ale is our flagship beer and America's first hand-canned craft beer. It's an assertive but deftly balanced beer (somewhere between an American pale ale and an India Pale Ale) brewed with hefty amounts of European malts and American hops.It features a merengue-like head, a copper color, and a hoppy nose, thanks to a big post-boil addition of Centennial hops. To complement its hoppy first impression, Dale's also sports a rich middle of malts and hops, and a bracing finish. Dale's is 6.5% alcohol by volume, and features 65 International Bittering Units. We think of it as the perfect, everyday beer for hopheads like us. Dale's Pale Ale's rich flavor has helped us make many new fans, and its numerous honors have helped us kick huge holes in the misconceptions regarding cans.",,6.5,,,65,,,,,,,,,,,,,,,,,,,,,,,
Oskar Blues Grill and Brew,Old Chub,,Scottish Strong Ale,"Old Chub is a Scottish strong ale brewed with hearty amounts of seven different malts, including crystal and chocolate malts, and a smidge of US and UK hops. Old Chub also gets a dash of beechwood-smoked grains imported from Bamburg, Germany, home of the world's greatest smoked beers. Old Chub is 8% alcohol by volume.While Dale's satisfies our hop addiction, Old Chub takes care of our deep affections for malt.\nThe cola-colored beer (almost black) features a tan head, a creamy, skim-milk mouthfeel, and rich, semi-sweet flavors of caramel and chocolate throughout. The addition of smoked grains gives Old Chub a delicate kiss of smoke on the finish.Old Chub is the beer equivalent of a lightly smoked single malt scotch, or your favorite dark chocolate. We call it Rocky Mountain Mutha's Milk. People who tell us defiantly, ""I don't drink dark beer,"" often fall deeply in love with Old Chub. We can't blame them.",,8 to 10,,,,,,,,,,,,,,,,,,,,,,,,,,
Oskar Blues Grill and Brew,Gordon,,,"Gordon is a hybrid version of strong ale, somewhere between an Imperial Red and a Double IPA. We make it with six different malts and three types of hops, then dry-hop it with a mutha lode of Amarillo hops. It is 8.7% alcohol by volume, and has 85 International Bittering Units.It features a gooey, resiny aroma and a luscious mouthfeel. Gordon is brewed with dash of chocolate malt in it, to round out its load of hops and balance the beer. The result is an assertive yet exceptionally smooth version of strong beer.We brew Gordon in tribute to the late Gordon Knight. In addition to opening some of Colorado's first microbreweries, Knight was a Vietnam vet, grade-A citizen, and huge promoter of craft beer. He lost his life in 2002 while fighting a wild fire outside of Lyons, Colorado.Originally our winter seasonal beer, it has become a cult favorite of extreme-beer lovers, so we now brew occasional batches of Gordon throughout the year. Released in bottles in 2003 and 2004, Gordon is now sold in four packs of hand-labeled cans and on draft in select markets.",,8.7,,,85,,,,,,,,,,,,,,,,,,,,,,,
Oskar Blues Grill and Brew,Ten Fidy,,Imperial Stout,"Ten FIDY Imperial Stout - Now (11-21-07) available in cans, our winter seasonal beer is immensely viscous and loaded with neck-deep flavors of chocolate, malt, coffee, cocoa and oats.It's the beer equivalent of decadently rich milkshake made with malted-milk balls and Heaven's best chocolate ice cream. Ten FIDY is about 10% ABV and is made with enormous amounts of two-row malts, chocolate malts, roasted barley, flaked oats and hops. Its huge-but-comforting flavors hide a whopping 98 IBUs that are deftly tucked underneath the beer's mountains of malty goodness.Ten FIDY is the ultimate Rocky Mountain winter warmer, and further proof of the creative muscle of our beloved brewing staff. Look for fourpacks of Ten FIDY in select beer stores in Colorado. Out of state? We hope to send a few cases to a few of our other states in early '08.",,10,,,98,,,,,,,,,,,,,,,,,,,,,,,
Oskar Blues Grill and Brew,Mama's Little Yella Pils,,Pilsner,"Our new canned good is a delicious, small-batch version of the beer that made Pilsen, Czechoslovakia famous. Mama's is made with hearty amounts of pale malt, German specialty malts, and traditional (Saaz) and 21st century Bavarian hops. It's the perfect antidote for the watered-down, cornfed versions of pilsner clogging America's shelves. Our first canned lager, it's also fermented at cool temperatures with a German yeast. While it's rich with Czeched-out flavor, Mama's gentle hopping (about 35 IBUs) and low ABV (just 5.3%) makes it a luxurious but low-dose beer. Look for our Gold Metal Winner on US shelves in March. Sadly, the Feds rejected our ""Take Two and Call Us in the Morning"" line on the can.",,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Avery Brewing ,India Pale Ale,,IPA,"n the 1700's one crafty brewer discovered that a healthy dose of hops and an increased alcohol content preserved his ales during the long voyage to India (as depicted in our label) to quench the thirst of British troops. Today, we tip our hat to that historic innovation by brewing Colorado's hoppiest pale ale. Avery IPA demands to be poured into your favorite glass to truly appreciate the citrusy, floral bouquet and the rich, malty finish.",,6.3,1.058,,69,,,,,"Two-row barley, Munich 10L, caramel 120L","Columbus, Chinook, Cascade and Centennial",,,,,,,,,,,,,,,,,
Avery Brewing ,White Rascal,,Belgian Wheat ,"A truly authentic Belgian style wheat or ""white"" ale, this Rascal is unfiltered (yup, that's yeast on the bottom) and cleverly spiced with coriander and Curacao orange peel producing a refreshingly fruity thirst quencher.",,5.6,1.050,,10,,,,,"Two-row barley, Belgian wheat",Czech Saaz,,,,,,,,,,,,,,,,,
Avery Brewing ,14'ER ESB,,ESB,"Named for the 54 Colorado peaks which tower over 14,000 feet in elevation, our session beer is a spectacular copper hued beauty. The treatment of our water to simulate English hard water and the blending of several specialty malts and hops produce a delicate balance between aromatic maltiness and herbal hops.",,5,1.048,,37,,,,,"Two-row barley, caramel 120L","Bullion, Fuggle",,,,,,,,,,,,,,,,,
Avery Brewing ,Redpoint Ale,,American Amber Ale,"Some beer lovers enjoy a rich, malty brew, while others go more for hoppy beers. Our brewmaster likes both - as evidence by this rich and caramelly amber ale with the distinct flavor and bouquet of Cascade hops. Reaching the perfect balance of crystal malt sweetness and hop bitterness took plenty of time and effort, making Redpoint the perfect beer for toasting your most recent success.",,5.1,1.052,,22,,,,,"Two-row barley, caramel 75L, caramel 120L, Munich 100L","Columbus, Crystal & Sterling",,,,,,,,,,,,,,,,,
Avery Brewing ,Ellie's Brown Ale,,American Brown Ale,"This beautiful, deep russet brew has the sweet and somewhat nutty character of Adam Avery's late (1992-2002) Chocolate Lab, for which it is named. Crystal and chocolate malts give this beer a brown sugar maltiness with hints of vanilla and nuts, while subtle hopping gives it an overall drinkability that's second to none, just like Ellie!",,5.5,1.056,,17,,,,,"Two-row barley, chocolate, Munich 10L, caramel 120L","Bullion, Cascade, Fuggles",,,,,,,,,,,,,,,,,
Avery Brewing ,Out Of Bounds Stout,,Stout,"This big, roasty stout takes flavor to the extreme. We aren't afraid to use plenty of rich roasted barley and a mountain of hops to give this full-bodied stout that little extra something you've been looking for in a beer.",,5.1,1.054,,51,,,,,"Two-row barley, roasted barley, black, caramel 120L","Bullion, Fuggles",,,,,,,,,,,,,,,,,
Avery Brewing ,New World Porter,,Robust Porter,"A traditional black porter, with a surprise twist - it's dry-hopped!! We've expanded the porter category a bit, adding a delightful, dry hop aroma to blend with the sweet caramel and chocolate characteristics of a Robust Porter.",,6.7,1.065,,45,Spring,,,,"Two-row barley, Munich 10L, chocolate, black, caramel 120L","Columbus, Fuggles",,,,,,,,,,,,,,,,,
Avery Brewing ,Karma,,Belgian Ale,"We believe in Karma. We suspect most of you do, too. It truly is a global concept. Very simply put, ""you get what you give."" Inspired by this principle and the wonderful farmhouse and pale ales of Belgium, we've created Karma Ale, a decidedly fruity and estery ale, intricate in body and nose, all driven by a unique Belgian yeast strain. Remember, good things DO happen to good people. Here's to being good!",,5.2,1.048,,10,limited,,,,"Two-row barley, Belgian special B, cara 45, aromatic",Sterling,,,,,,,,,,,,,,,,,
Avery Brewing ,Old Jubilation Ale,,English Strong Ale,"Our winter strong ale has a gorgeous mahogany hue, a hint of hazelnuts, and a finish reminiscent of mocha and toffee. No spices, just a perfect blend of five specialty malts. Cellarable for 2 years.",,8,1.074,,30,winter,,,,"Two-row barley, special roast, black, chocolate, victory",Bullion,,,,,,,,,,,,,,,,,
Avery Brewing ,Demons of Ale: Samael's Oak-aged Ale,,Oak Aged English Strong Ale,"Samael's Ale is a super-caramelly, oak aged English-style strong ale. Perhaps the least hoppy (sacrilege here at Avery!!) beer we've brewed, to accentuate the malt. The oak is very apparent in this rich and high gravity ale, adding additional depth and complexity with a woody and cask-like nose and a pronounced vanilla flavor on the palate. Notes for 2007 - With the addition of an additional roasted malt, Samael's now delivers subtle bitterness to add balance to the natural sweetness.",,14.5,1.140,,41,,,,,"Two-row barley, caramel 150L","Columbus, Fuggels",,,,,,,,,,,,,,,,,
Avery Brewing ,Demons of Ale: The Beast,,Belgian Grand Cru,"The Beast is a seducer - accomodating, complicated, powerful, dark and created to last the ages. With a deep burgundy color and aromas of honey, nutmeg, mandarin orange and pineapple, this massive and challenging brew has flavors akin to a beautiful Carribean rum. Dates, plums, raisins and molasses are dominant in a rich vinous texture. Cellarable for 10+ years.",,14.9,1.148,,68,,,,,"Two-row barley, Belgian Special B, honey malt, aromatic, pale wheat, roasted wheat","Magnum, Galena, Saaz, Hallertau, Tettnang, Hersbrucker",,,,,,,,,,,,,,,,,
Avery Brewing ,Demons of Ale: Mephistopheles',,Stout,"Mephistopheles is the crafty shape shifter, the second fallen angel. Amazingly complex, coal black, velvety and liqueurish, this demon has a bouquet of vine-ripened grapes, anise and chocolate covered cherries with flavors of rum-soaked caramelized dark fruits and a double espresso finish. IBU's 107.",,15.1,1.145,,107,limited,,,," Two-row barley, black malt, roasted barley,Belgian special B,","Magnum, Styrian Goldings",,,,,,,,,,,,,,,,,
Avery Brewing ,Brabant,,Barrel-Aged Wild Ale,"Experimentation. Ales and lagers that defy styles or categories. This is what we are about: our driving force, our passion. To further facilitate this innovative spirit, we've developed our Barrel-Aged Series where anything, and we mean ANYTHING, goes! Brewed for those as adventurous as we are!",,8.7,1.074,,25,limited,,,,"Two-row barley, dehusked carafa, honey malt, carafa 3, chocolate malt",,,,,,,,,,,,,,,,,,
Avery Brewing ,Hog Heaven,,Barleywine Ale,This dangerously drinkable garnet beauty is a hop lover's delight. The intense dry-hop nose and the alcohol content are perfectly balanced for a caramel candy-like malt finish. This is a serious beer for serious beer afficianados and it only gets better with age. Cellarable for 3 years.,,9.2,1.085,,104,,,,,"Two-row barley, caramel 75L",Columbus,,,,,,,,,,,,,,,,,
Avery Brewing ,Reverend,,Belgian Quadrupel Ale,"The Reverend, was created in tribute to the life of Sales Mgr. Tom Boogaard's grandfather, an ordained Episcopal Reverend. Tom was inspired by the life of his grandfather and wanted to create a tribute beer that contained his sterling traits. True to both our ""small brewery, BIG BEERS"" philosophy and to the spirit and character of the departed Reverend, this beer is strong willed, assertive, and pure of heart, a heart of candy sugar. It contains as many authentic imported Belgian specialty malts as the brewers could cram into our mash tun, and lots of Belgian dark candy sugar stirred into the brew kettle. A divinely complex and beautifully layered beer with hints of dark cherries, currants, and molasses, complimented by an underlying spiciness. Sinfully smooth considering the high alcohol content. Cellarable for up to 4 years.",,10,1.093,,10,,,,,"Two-row barley, cara 8, cara 20, caramel 15L, caramel 40L, Belgian special B",Styrian Goldings,,,,,,,,,,,,,,,,,
Avery Brewing ,Salvation,, Belgian Golden Ale,"The success of Hog Heaven and The Reverend clearly demonstrates that beer drinkers are willing to embrace ""BIGGER"" beers. In the fall of 2001, we decided that a lighter BIG BEER would complement its darker colored predecessors. Salvation has luscious apricot and peach aromas delicately interwoven with spicy suggestions of nutmeg and cinnamon. This heavenly soft, champagne-like elixer is cellarable for 3 years.",,9,1.080,,25,,,,,"Two-row barley, cara 8, cara 20",Styrian Goldings,,,,,,,,,,,,,,,,,
Avery Brewing ,The Maharaja,,Imperial IPA,"Maharaja is derived from the sanskrit words mahat, - ""great"" and rajan - ""king"". Much like its namesake, this imperial IPA is regal, intense and mighty. With hops and malts as his servants, he rules both with a heavy hand. The Maharaja flaunts his authority over a deranged amount of hops: tangy, vibrant and pungent along with an insane amount of malted barley - fashioning a dark amber hue and exquisite malt essence.",,10.24,1.090,,102,summer,,,,"Two-row barley, caramel 120L, victory","Columbus, Crystal, Centennial & Simcoe",,,,,,,,,,,,,,,,,
Avery Brewing ,The Kaiser,,Imperial Oktoberfest Lager,"The Kaiser sonce said, ""Give me a woman who loves beer and I will conquer the world."" If the Kaiser and his significant other had tipped this bottle, we'd all be ""sprechenden Deutsch!"" We took all that is good in a traditional Oktoberfest - gorgeous, deep copper sheen, massive malty backbone and spicy, floral, pungent noble hops - then intensified each into this, an Imperial Oktoberfest.",,9.3,1.080,,24,limited,,,,"Two-row barley, Vienna, Munich 10L, m-100, aromatic","Magnum, Sterling, Tettnang, Hersbrucker",,,,,,,,,,,,,,,,,
Avery Brewing ,The Czar,,Imperial Stout,"Behold the stunning crimson hues through the inky blackness. Inhale the noble Hallertau hops, spicy and floral. Savor the flavors redolent of English toffee, rich mocha, sweet molasses, candied currants and a hint of anise. We highly recommend cellaring additional bottles, as the Czar will continue to mature and become denser and more complex with age.",,11.03,1.100,,60,,,,,"Two-row barley, black, chocolate, carafa 111, cara 8, cara 45, honey malt","Magnum, German Hallertau",,,,,,,,,,,,,,,,,
Avery Brewing ,Sixteen ,,Saison,"""Finally, we're SIXTEEN! Dad, can we have the keys? No really, we'll totally take care of her--keep her clean--fill up her tanks--show her off to our friends and let 'em see what we can really do. Really? Thanks, dude! Promise to make you proud. Now to go find Jasmin, Peches and Miel! Well, we got her started and decided to add a few things to the tank. SIXTEEN is a harmonious combination of jasmine, peaches and honey fermented with an unmistakable Belgian yeast strain, all weaving a marvelously spicy and fruity, massively estery and dry, saison ale.""",,7.69,1.065,,,,,,,"Two-row barley, pale malted wheat",Sterling,,,,,,,,,,,,,,,,,
